Fiscal Year,Library,County,Principal Public?,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita
1996,Andover,Tolland,P,109.0,2815.0,15000.0,5.3,1313.0,0.47,499.0,0.2,17028.0,5.6,117.0,860.0,0.3,15285.0,5.4,56300.0,20.0,52915.0,18.8,10073.0,30996.0,44290.0,15.7
1996,Ansonia,New Haven,P,158.0,17825.0,91756.0,5.1,6952.0,0.39,5810.0,,71301.0,3.5,153.0,4525.0,0.3,63685.0,3.6,320679.0,17.99,323503.0,18.15,45874.0,201621.0,270658.0,15.2
1996,Ashford-Babcock,Windham,P,131.0,3969.0,8665.0,2.2,1360.0,0.34,207.0,0.1,34574.0,8.6,22.0,780.0,0.2,23818.0,6.0,111699.0,28.14,106713.0,26.89,11508.0,62295.0,82769.0,20.9
1996,Avon,Hartford,P,19.0,14143.0,162893.0,11.5,8808.0,0.62,15283.0,1.1,226137.0,11.9,345.0,9501.0,0.7,74903.0,5.3,685678.0,48.48,602831.0,42.62,92711.0,340400.0,516583.0,36.5
1996,Beacon Falls,New Haven,P,129.0,5351.0,7000.0,1.3,1379.0,0.26,400.0,0.1,8880.0,1.7,22.0,223.0,0.0,10042.0,1.9,40806.0,7.63,39256.0,7.34,4298.0,21585.0,39165.0,7.3
1996,Berlin-Peck,Hartford,P,52.0,16792.0,55280.0,4.6,8142.0,0.48,6081.0,0.4,217517.0,11.6,376.0,5044.5,0.4,92322.0,5.5,638641.0,38.03,643771.0,38.34,92877.0,320919.0,480642.0,28.6
1996,Bethany - Clark,New Haven,P,54.0,4845.0,19500.0,4.0,3100.0,0.64,696.0,0.1,40500.0,8.3,45.0,395.0,0.1,32178.0,6.6,46497.0,9.6,36483.0,7.53,9848.0,21720.0,39231.0,8.1
1996,Bethel,Fairfield,P,74.0,17921.0,155316.0,8.7,12546.0,0.7,16796.0,0.9,136014.0,6.7,186.0,4706.0,0.3,83123.0,4.6,375789.0,20.97,371859.0,20.75,89167.0,229724.0,364548.0,20.3
1996,Bethlehem,Litchfield,P,73.0,3324.0,17478.0,5.3,1952.0,0.59,5810.0,,33532.0,9.9,37.0,670.0,0.2,22966.0,6.9,62571.0,18.82,56000.0,16.85,5551.0,37448.0,47980.0,14.4
1996,Bloomfield - Prosser,Hartford,P,55.0,18546.0,55280.0,4.6,9156.0,0.49,15408.0,0.8,194144.0,8.4,418.0,9935.0,0.5,118282.0,6.4,708697.0,38.21,694710.0,37.46,88610.0,531196.0,678787.0,36.6
1996,Bolton - Bentley,Tolland,P,93.0,4792.0,15600.0,3.3,3575.0,0.75,784.0,0.2,43919.0,8.1,141.0,1801.0,0.4,33141.0,6.9,147439.0,30.77,150757.0,31.46,24547.0,99110.0,150407.0,31.4
1996,Branford - Blackstone,New Haven,P,53.0,28043.0,650000.0,23.2,23305.0,0.83,54000.0,1.9,154942.0,5.0,351.0,5967.0,0.2,91927.0,3.3,621874.0,22.18,443745.0,15.82,59977.0,381143.0,518961.0,18.5
1996,Branford - Willoughby,New Haven,N,53.0,13063.5,6000.0,0.2,2500.0,0.09,3000.0,0.1,41688.0,1.3,30.0,1800.0,0.1,31210.0,1.1,108198.0,3.86,88957.0,3.17,20000.0,58214.0,102664.0,3.7
1996,Bridgeport,Fairfield,P,168.0,136817.0,278032.0,2.0,45448.0,0.33,164721.0,1.2,348993.0,2.4,392.0,7509.0,0.1,487537.0,3.6,3009981.0,22.0,2926824.0,21.39,388006.0,1877779.0,2673565.0,19.5
1996,Bridgewater - Burnham,Litchfield,P,21.0,1724.0,14127.0,8.2,841.0,0.49,5810.0,,21751.0,12.0,78.0,4796.0,2.8,30897.0,17.9,80676.0,46.8,46500.0,26.97,13844.0,49708.0,69621.0,40.4
1996,Bristol,Hartford,P,136.0,59658.0,105925.0,1.8,19974.0,0.33,20828.0,0.3,311762.0,4.9,477.0,13389.0,0.2,139195.0,2.3,1202928.0,20.16,1090195.0,18.27,139156.0,756008.0,1039052.0,17.4
1996,Brookfield,Fairfield,P,38.0,14691.0,113765.0,7.7,6818.0,0.46,14716.0,1.0,145604.0,9.2,177.0,5737.0,0.4,59060.0,4.0,360844.0,24.56,330750.0,22.51,69523.0,220873.0,335795.0,22.9
1996,Brooklyn,Windham,P,149.0,6642.0,14040.0,2.1,2492.0,0.38,1500.0,0.2,27209.0,4.1,18.0,647.0,0.1,19047.0,2.9,74007.0,11.14,63685.0,9.59,16738.0,31033.0,62812.0,9.5
1996,Burlington,Hartford,P,71.0,7656.0,28425.0,3.7,2691.0,0.35,960.0,0.1,45574.0,5.7,79.0,1561.0,0.2,28644.0,3.7,116564.0,15.23,111275.0,14.53,20149.0,75091.0,104875.0,13.7
1996,Canaan - David Hunt,Litchfield,P,40.0,1272.0,14456.0,11.4,667.0,0.52,5810.0,,15724.0,10.3,144.0,1757.0,1.4,25680.0,20.2,71512.0,56.22,25000.0,19.65,5912.0,26784.0,42505.0,33.4
1996,Canterbury,Windham,P,152.0,4658.0,4420.0,0.9,1138.0,0.24,5810.0,,11715.0,2.5,262.0,5044.5,0.4,12511.0,2.7,28563.0,6.13,26289.0,5.64,5456.0,13859.0,24029.0,5.2
1996,Canton,Hartford,P,64.0,8453.0,15964.0,1.9,7120.0,0.84,5810.0,,37061.0,4.0,156.0,5044.5,0.4,45947.0,5.4,229595.0,27.16,196000.0,23.19,22696.0,122102.0,159520.0,18.9
1996,Chaplin,Windham,P,135.0,2183.0,3120.0,1.4,572.0,0.26,5810.0,,6865.0,3.1,262.0,5044.5,0.4,13726.0,6.3,22270.0,10.2,22270.0,10.2,4847.0,12191.0,18804.0,8.6
1996,Cheshire,New Haven,P,65.0,26691.0,74625.0,2.8,22500.0,0.84,17017.0,0.6,211014.0,7.0,50.0,521.0,0.0,100162.0,3.8,816549.0,30.59,773596.0,28.98,91011.0,626715.0,816548.0,30.6
1996,Chester,Middlesex,P,61.0,3621.0,22000.0,6.1,2700.0,0.75,937.0,0.3,32773.0,8.5,44.0,1049.0,0.3,14354.0,4.0,42441.0,11.72,35413.0,9.78,13069.0,26781.0,42441.0,11.7
1996,Clinton - Henry C. Hull,Middlesex,P,90.0,13137.0,55280.0,4.6,7913.0,0.6,2000.0,0.2,211700.0,14.0,169.0,3861.0,0.3,37320.0,2.8,339734.0,25.86,230670.0,17.56,70293.0,182904.0,291358.0,22.2
1996,Colchester - Cragin,New London,P,127.0,11906.0,32370.0,2.7,7867.0,0.66,3430.0,0.3,64170.0,4.8,161.0,4752.0,0.4,27670.0,2.3,182512.0,15.33,148142.0,12.44,36615.0,97997.0,157567.0,13.2
1996,Columbia - S.B. Little,Tolland,P,78.0,4845.0,4000.0,0.8,2481.0,0.51,3900.0,0.8,39246.0,7.8,38.0,2049.0,0.4,24884.0,5.1,146870.0,30.31,127053.0,26.22,27604.0,72492.0,124893.0,25.8
1996,Cornwall,Litchfield,P,20.0,1498.0,7176.0,4.8,575.0,0.38,5810.0,,13148.0,8.5,3.0,5044.5,0.4,14795.0,9.9,26772.0,17.87,2750.0,1.84,3441.0,10738.0,22788.0,15.2
1996,"Cornwall, West",Litchfield,N,20.0,13063.5,1400.0,0.9,270.0,0.18,55.0,0.0,3175.0,2.1,1.0,10.0,0.0,13253.0,8.8,7100.0,4.74,369539.0,31.73,571.0,273187.0,2917.0,1.9
1996,Coventry - Booth Dim,Tolland,P,124.0,10905.0,35480.0,3.3,4394.0,0.4,2261.0,0.2,97312.0,8.5,169.0,3253.0,0.3,43325.0,4.0,176408.0,16.18,160319.0,14.7,23764.0,94162.0,135815.0,12.5
1996,Cromwell,Middlesex,P,97.0,12709.0,55000.0,4.3,7000.0,0.55,4378.0,0.3,81177.0,6.0,130.0,3035.0,0.2,35813.0,2.8,313405.0,24.66,308013.0,24.24,52194.0,224057.0,319329.0,25.1
1996,Danbury,Fairfield,P,77.0,67370.0,401925.0,6.0,28026.0,0.42,45753.0,0.7,266501.0,3.0,605.0,19118.0,0.3,93080.0,1.4,1719405.0,25.52,1463081.0,21.72,220129.0,948669.0,1472471.0,21.9
1996,Darien,Fairfield,P,1.0,19171.0,335811.0,17.5,23031.0,1.2,30302.0,1.6,475220.0,20.0,46.0,11097.0,0.6,139977.0,7.3,1721597.0,89.8,1157347.0,60.37,309086.0,798637.0,1321202.0,68.9
1996,Deep River,Middlesex,P,85.0,4408.0,22842.0,5.2,3929.0,0.89,801.0,0.2,16242.0,3.5,5.0,186.0,0.0,18584.0,4.2,56496.0,12.82,52639.0,11.94,8803.0,35589.0,47793.0,10.8
1996,Derby,New Haven,P,139.0,11774.0,36375.0,3.1,2260.0,0.19,5304.0,0.5,30668.0,2.1,326.0,6874.0,0.6,43461.0,3.7,255245.0,21.68,228800.0,19.43,22155.0,138873.0,201773.0,17.1
1996,Derby Neck,New Haven,N,139.0,13063.5,34996.0,3.0,1879.0,0.16,1035.0,0.1,49163.0,2.7,36.0,855.0,0.1,47883.0,4.1,304316.0,25.85,500.0,0.04,53076.0,120195.0,246723.0,21.0
1996,Durham,Middlesex,P,91.0,6223.0,46800.0,7.5,4786.0,0.77,8476.0,1.4,88441.0,11.6,109.0,1973.0,0.3,36693.0,5.9,230966.0,37.11,220557.0,35.44,32700.0,142452.0,201852.0,32.4
1996,East Granby,Hartford,P,104.0,4374.0,30000.0,6.9,3504.0,0.8,650.0,0.1,29103.0,6.3,188.0,1480.0,0.3,26265.0,6.0,69005.0,15.78,46200.0,10.56,14673.0,34716.0,66009.0,15.1
1996,East Haddam,Middlesex,P,112.0,7375.0,12422.0,1.7,4382.0,0.59,93.0,0.0,17082.0,2.2,168.0,1910.0,0.3,20440.0,2.8,56467.0,7.66,16300.0,2.21,6729.0,30249.0,45489.0,6.2
1996,East Haddam - Rathbun,Middlesex,N,44.0,13063.5,26104.0,3.5,3620.0,0.49,830.0,0.1,21891.0,2.9,95.0,840.0,0.1,21346.0,2.9,92061.0,12.48,39500.0,5.36,17118.0,46000.0,78123.0,10.6
1996,East Hampton,Middlesex,P,79.0,11021.0,34000.0,3.1,6163.0,0.56,2600.0,0.2,61771.0,5.1,166.0,2448.0,0.2,35204.0,3.2,244774.0,22.21,232541.0,21.1,30437.0,178277.0,241669.0,21.9
1996,East Hampton - Middle,Middlesex,N,79.0,13063.5,3000.0,0.3,563.0,0.05,5810.0,,6192.0,0.6,37.0,196.0,0.0,16519.0,1.5,21675.0,1.97,3000.0,0.27,5710.0,8617.0,19269.0,1.7
1996,East Hartford,Hartford,P,104.0,48125.0,122345.0,2.5,34325.0,0.71,18340.0,0.4,148122.0,2.8,26.0,3360.0,0.1,345971.0,7.2,748782.0,15.56,740257.0,15.38,130000.0,517638.0,708132.0,14.7
1996,East Haven - Hagaman,New Haven,P,106.0,26651.0,83200.0,3.1,16610.0,0.62,12825.0,0.5,127043.0,3.9,108.0,1627.0,0.1,56535.0,2.1,515685.0,19.35,454532.0,17.05,53000.0,280876.0,391854.0,14.7
1996,East Lyme,New London,P,141.0,16031.0,40000.0,2.5,18259.0,1.14,17360.0,1.1,161709.0,8.7,262.0,4800.0,0.3,78293.0,4.9,641772.0,40.03,589836.0,36.79,104357.0,348640.0,540342.0,33.7
1996,East Windsor - Warehouse,Hartford,P,83.0,9700.0,23231.0,2.4,3246.0,0.33,5810.0,,44053.0,3.9,271.0,5587.0,0.6,30241.0,3.1,241527.0,24.9,72598.0,7.48,23839.0,120611.0,195070.0,20.1
1996,Eastford,Windham,P,110.0,1367.0,5400.0,4.0,590.0,0.43,200.0,0.1,11012.0,8.0,16.0,65.0,0.0,11045.0,8.1,23592.0,17.26,21517.0,15.74,5725.0,12239.0,21512.0,15.7
1996,Easton,Fairfield,P,13.0,6489.0,48958.0,7.5,2236.0,0.34,7396.0,1.1,58946.0,8.6,133.0,2602.0,0.4,44772.0,6.9,198936.0,30.66,191258.0,29.47,31997.0,121786.0,166580.0,25.7
1996,Ellington - Hall,Tolland,P,120.0,11817.0,74122.0,6.3,5885.0,0.5,4951.0,0.4,91986.0,6.5,119.0,4433.0,0.4,36907.0,3.1,314451.0,26.61,282392.0,23.9,36060.0,168448.0,245401.0,20.8
1996,Enfield,Hartford,P,137.0,45451.0,189512.0,4.2,19481.0,0.43,43441.0,1.0,256892.0,5.3,458.0,12310.0,0.3,125578.0,2.8,702011.0,15.45,691622.0,15.22,128082.0,493800.0,682947.0,15.0
1996,Essex,Middlesex,P,31.0,5855.0,38123.0,6.5,3657.0,0.62,5695.0,1.0,44991.0,6.6,18.0,789.0,0.1,24599.0,4.2,175002.0,29.89,50000.0,8.54,24942.0,85298.0,138856.0,23.7
1996,Fairfield,Fairfield,P,28.0,53057.0,642103.0,12.1,25311.0,0.48,90150.0,1.7,782687.0,11.6,526.0,17988.0,0.3,256937.0,4.8,2638467.0,49.73,2639667.0,49.75,382918.0,1481565.0,2041390.0,38.5
1996,Fairfield - Pequot,Fairfield,N,28.0,13063.5,93133.0,1.8,1881.0,0.04,4203.0,0.1,58006.0,0.8,219.0,6896.0,0.1,127765.0,2.4,570088.0,10.74,210500.0,3.97,55610.0,248601.0,410434.0,7.7
1996,Farmington,Hartford,P,22.0,21197.0,202884.0,9.6,12612.0,0.59,36804.0,1.7,323453.0,11.0,1064.0,20189.0,1.0,160182.0,7.6,1659714.0,78.3,1288335.0,60.78,119620.0,863107.0,1121128.0,52.9
1996,Glastonbury - Wells-T.,Hartford,P,39.0,28238.0,267544.0,9.5,15513.0,0.55,14337.0,0.5,334711.0,10.3,321.0,5341.0,0.2,101092.0,3.6,781087.0,27.66,742590.0,26.3,135730.0,485671.0,685573.0,24.3
1996,"Glastonbury, East",Hartford,N,39.0,13063.5,10972.0,0.4,686.0,0.02,94.0,0.0,14715.0,0.5,262.0,4281.0,0.2,17191.0,0.6,19884.0,0.7,5000.0,0.18,9091.0,273187.0,12889.0,0.5
1996,Goshen,Litchfield,P,32.0,2478.0,4505.0,1.8,1688.0,0.68,3456.0,1.4,30147.0,11.8,4.0,160.0,0.1,32893.0,13.3,43949.0,17.74,36192.0,14.61,15934.0,30976.0,51942.0,21.0
1996,Granby,Hartford,P,69.0,9441.0,71552.0,7.6,6000.0,0.64,12000.0,1.3,133487.0,12.5,216.0,3983.0,0.4,62564.0,6.6,259316.0,27.47,259316.0,27.47,33495.0,206834.0,259316.0,27.5
1996,Greenwich,Fairfield,P,3.0,57732.0,618926.0,10.7,48973.0,0.85,204684.0,3.5,1167620.0,18.5,262.0,104784.0,1.8,344737.0,6.0,3922345.0,67.94,3884570.0,67.29,661824.0,2580153.0,3575779.0,61.9
1996,Griswold - Slater,New London,P,164.0,13986.0,55280.0,4.6,3794.0,0.27,2195.0,0.2,20195.0,1.4,18.0,787.0,0.1,21376.0,1.5,110050.0,7.87,56100.0,4.01,5545.0,25523.0,46039.0,3.3
1996,Groton,New London,P,151.0,44029.0,310000.0,7.0,34826.0,0.79,58864.0,1.3,341347.0,5.5,96.0,4772.0,0.1,124088.0,2.8,1316194.0,29.89,1278330.0,29.03,175467.0,961700.0,1277750.0,29.0
1996,Groton - Bill,New London,N,151.0,44029.0,3000.0,0.1,740.0,0.02,780.0,0.0,15832.0,0.3,33.0,400.0,0.0,17351.0,0.4,117883.0,2.68,5000.0,0.11,11044.0,48533.0,77549.0,1.8
1996,Groton - Mystic,New London,N,151.0,13063.5,66000.0,1.5,5710.0,0.13,5810.0,,101024.0,1.5,277.0,5044.5,0.4,44607.0,1.0,315199.0,7.16,126470.0,2.87,32041.0,153407.0,237404.0,5.4
1996,Guilford,New Haven,P,41.0,20315.0,185000.0,9.1,14440.0,0.71,40129.0,2.0,231351.0,9.4,344.0,9785.0,0.5,109051.0,5.4,722064.0,35.54,609114.0,29.98,87000.0,516505.0,694601.0,34.2
1996,Haddam - Brainerd,Middlesex,P,12.0,7226.0,12636.0,1.7,3218.0,0.45,5810.0,,16731.0,2.2,262.0,5044.5,0.4,56998.0,4.7,460418.0,37.02,55350.0,7.66,12734.0,38360.0,67021.0,9.3
1996,Hamden,New Haven,P,105.0,51093.0,282000.0,5.5,29876.0,0.58,21450.0,0.4,437430.0,7.1,220.0,3586.0,0.1,162932.0,3.2,1366574.0,26.75,1308331.0,25.61,160187.0,1044149.0,1354502.0,26.5
1996,Hampton - Fletcher,Windham,P,126.0,1701.0,1500.0,0.9,676.0,0.4,500.0,0.3,5663.0,3.3,262.0,5044.5,0.4,18520.0,10.9,12569.0,7.39,4000.0,2.35,4145.0,2500.0,8262.0,4.9
1996,Hartford,Hartford,P,161.0,135750.0,609772.0,4.5,39938.0,0.29,315565.0,2.3,500102.0,2.9,4058.0,60646.0,0.4,574088.0,4.2,5126765.0,37.77,4762130.0,35.08,535527.0,4001882.0,5087476.0,37.5
1996,Hartland,Hartford,P,108.0,1916.0,55280.0,4.6,5243.0,0.46,5810.0,,694.0,0.4,262.0,5044.5,0.4,3820.0,2.0,2685.0,1.4,1250.0,0.65,1601.0,273187.0,2057.0,1.1
1996,Harwinton,Litchfield,P,75.0,5337.0,12620.0,2.4,3150.0,0.59,900.0,0.2,37728.0,5.9,93.0,1663.0,0.3,24036.0,4.5,74864.0,14.03,72418.0,13.57,15515.0,52797.0,84549.0,15.8
1996,Hebron - Douglas,Tolland,P,102.0,7735.0,22751.0,2.9,2606.0,0.34,4322.0,0.6,40648.0,5.2,112.0,1434.0,0.2,16423.0,2.1,154722.0,20.0,75000.0,9.7,22423.0,85042.0,133888.0,17.3
1996,Kent,Litchfield,P,36.0,3104.0,33200.0,10.7,1935.0,0.62,936.0,0.3,24617.0,7.7,133.0,2046.0,0.7,21328.0,6.9,90620.0,29.19,42500.0,13.69,19560.0,46567.0,78003.0,25.1
1996,Killingly,Windham,P,153.0,16140.0,121925.0,7.6,7331.0,0.45,3916.0,0.2,134660.0,6.2,220.0,3671.0,0.2,38371.0,2.4,433329.0,26.85,390442.0,24.19,50182.0,250576.0,397972.0,24.7
1996,Killingworth,Middlesex,P,80.0,5257.0,17191.0,3.3,4800.0,0.91,743.0,0.1,22779.0,4.3,43.0,597.0,0.1,22247.0,4.2,91533.0,17.41,45000.0,8.56,12289.0,26971.0,66490.0,12.6
